hfpxzc href,xxVWCe,qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd (2),W4Efsd (3),Cw1rxd,R8c4Qb,qBF1Pd (2),W4Efsd (4),W4Efsd (5),W4Efsd (6),UsdlK,ah5Ghc,doJOZc,lcr4fd href,Cw1rxd (2),R8c4Qb (2),e4rVHe,W4Efsd (7)
https://www.google.com/maps/place/%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%2F+%D8%B9%D8%A7%D8%AF%D9%84+%D8%B9%D8%A8%D8%AF+%D8%A7%D9%84%D9%81%D8%AA%D8%A7%D8%AD%E2%80%AD/data=!4m7!3m6!1s0x14f5c357a2b14411:0x8e35550a57ca9c6f!8m2!3d31.120247!4d29.7873059!16s%2Fg%2F11rv1xngct!19sChIJEUSxolfD9RQRb5zKVwpVNY4?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,دكتور / عادل عبد الفتاح,,5.0,(2),طبيب أمراض جلدية,·,Al Bitash,,Directions,دكتور / عادل عبد الفتاح,Closed,· Opens 6:30 PM,·,03 4352844,,,,,,,
https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A7%D8%AA+%D8%A3%D8%AC%D9%8A%D8%A7%D8%AF+%D9%85%D9%83%D8%A9+%D8%A7%D9%84%D8%AA%D8%AE%D8%B5%D8%B5%D9%8A%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x14f5951cf13a1c19:0xf571e14f299e14f!8m2!3d31.1053593!4d29.7650704!16s%2Fg%2F11x7s8h4yt!19sChIJGRw68RyV9RQRT-GZ8hQeVw8?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,عيادات أجياد مكة التخصصية,,,,عيادة طبية,·,Al Hanouvel,,Directions,عيادات أجياد مكة التخصصية,Open 24 hours,,·,012 87179783,,,,,,No reviews,
https://www.google.com/maps/place/Royal+clinics+%D8%A7%D9%84%D8%B9%D9%8A%D8%A7%D8%AF%D8%A7%D8%AA+%D8%A7%D9%84%D9%85%D9%84%D9%83%D9%8A%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x14f594c1beed5083:0xd787c3e31c4be44c!8m2!3d31.1028615!4d29.7674131!16s%2Fg%2F11gg6d4w8p!19sChIJg1DtvsGU9RQRTORLHOPDh9c?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,Royal clinics العيادات الملكية,,4.6,(53),عيادة طبية,·,Elhanovel Road,,Directions,Royal clinics العيادات الملكية,Open,· Closes 11 PM,·,012 76742216,,,,,,,
https://www.google.com/maps/place/%D8%A7%D8%AE%D8%B5%D8%A7%D8%A6%D9%8A+%D8%A7%D9%85%D8%B1%D8%A7%D8%B6+%D8%AC%D9%84%D8%AF%D9%8A%D8%A9+%D9%88%D8%AA%D9%86%D8%A7%D8%B3%D9%84%D9%8A%D8%A9%D8%8C+%D8%A7%D9%84%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D8%AD%D8%B3%D8%A7%D9%85+%D8%A3%D8%A8%D9%88%D8%A5%D8%B3%D9%85%D8%A7%D8%B9%D9%8A%D9%84%E2%80%AD/data=!4m7!3m6!1s0x14f5ebeb9f712825:0xd090ff1e30e1876d!8m2!3d31.1313232!4d29.8199737!16s%2Fg%2F11ghs1k6mk!19sChIJJShxn-vr9RQRbYfhMB7_kNA?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,اخصائي امراض جلدية وتناسلية، الدكتور حسام أبوإسماعيل,,5.0,(7),عيادة طبية,·,"الدخلية الاسكندريه Alexandria Governorate EG 21500, Dekhela",,Directions,اخصائي امراض جلدية وتناسلية، الدكتور حسام أبوإسماعيل,Closed,· Opens 7 PM,·,010 03601763,,,,,,,
https://www.google.com/maps/place/Ossama+El+Tayeby+Pharmacy/data=!4m7!3m6!1s0x14f5ea905ed5bc4d:0x79c1d785431fee4b!8m2!3d31.0820236!4d29.7314058!16s%2Fg%2F1v2sjbcg!19sChIJTbzVXpDq9RQRS-4fQ4XXwXk?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,Ossama El Tayeby Pharmacy,Ossama El Tayeby Pharmacy,4.0,(44),صيدلية,·,,,Website,,,قرية النخيل,,03 3194343,Delivery,,https://taypharmacies.com/,,Directions,,
https://www.google.com/maps/place/%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D9%85%D8%AD%D9%85%D8%AF+%D9%85%D8%AD%D9%85%D9%88%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x14f594c1a43fcca7:0xb7e474811c24955d!8m2!3d31.1005888!4d29.7694303!16s%2Fg%2F11h10_q50w!19sChIJp8w_pMGU9RQRXZUkHIF05Lc?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,دكتور محمد محمود,,5.0,(2),جرَّاح,·,·,,Directions,دكتور محمد محمود,14 شارع الهانوفيل الرئيسي بجوار مدرسة الهانوفيل الخاصة (الضوي,Closed,· Opens 9 PM,010 01455530,,,,,,,
https://www.google.com/maps/place/%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D8%A3%D8%AD%D9%85%D8%AF+%D8%AD%D8%B3%D9%86+%D8%A5%D8%A8%D8%B1%D8%A7%D9%87%D9%8A%D9%85+%D8%A7%D8%B3%D8%AA%D8%B4%D8%A7%D8%B1%D9%8A+%D8%A7%D9%84%D8%AC%D9%84%D8%AF%D9%8A%D8%A9+%D9%88%D8%A7%D9%84%D9%84%D9%8A%D8%B2%D8%B1+%D9%88%D8%A7%D9%84%D8%AA%D8%AC%D9%85%D9%8A%D9%84+%D8%A7%D9%84%D9%88%D8%B1%D8%AF%D9%8A%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x14f5c1854ed27915:0xdf1c3658cb311a75!8m2!3d31.1679144!4d29.870428!16s%2Fg%2F11cny1g7qx!19sChIJFXnSToXB9RQRdRoxy1g2HN8?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,دكتور أحمد حسن إبراهيم استشاري الجلدية والليزر والتجميل الورديان,,4.6,(17),طبيب أمراض جلدية,·,·,,Directions,دكتور أحمد حسن إبراهيم استشاري الجلدية والليزر والتجميل الورديان,Closed,· Opens 5 PM Wed,25 Al Sheikh Yousf,011 41341475,,,,,,,·
https://www.google.com/maps/place/%D8%A7%D9%84%D8%B9%D8%AC%D9%85%D9%8A+%D8%A7%D9%84%D8%AF%D8%B1%D8%A7%D9%8A%D8%B3%D9%87+%D8%A3%D9%85%D9%80%D8%A7%D9%85+%D9%85%D9%80%D8%B9%D9%80%D9%85%D9%80%D9%84+%D8%A3%D9%84%D9%80%D9%81%D9%80%D8%A7%E2%80%AD/data=!4m7!3m6!1s0x14f5950037578ec9:0x5455d6547319a293!8m2!3d31.10301!4d29.77798!16s%2Fg%2F11wmy__npk!19sChIJyY5XNwCV9RQRk6IZc1TWVVQ?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,العجمي الدرايسه أمـام مـعـمـل ألـفـا,,,,طبيب أمراض جلدية,·,,,Directions,العجمي الدرايسه أمـام مـعـمـل ألـفـا,"4Q3H+655 أمـام مـعـمـل ألـفـا, Al Daresa",,,,,,,,,No reviews,
https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%AF.+%D9%86%D8%AC%D9%84%D8%A7%D8%A1+%D9%81%D8%AA%D8%AD%D9%8A+Dr+%2F+Naglaa+Fathi+GastroClinic%E2%80%AD/data=!4m7!3m6!1s0x14f595a6f531a8ef:0xb7e6d5064be5b648!8m2!3d31.1004892!4d29.7737258!16s%2Fg%2F11sbz68s6h!19sChIJ76gx9aaV9RQRSLblSwbV5rc?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,عيادة د. نجلاء فتحي Dr / Naglaa Fathi GastroClinic,,4.8,(57),عيادة طبية,·,·,,Website,عيادة د. نجلاء فتحي Dr / Naglaa Fathi GastroClinic,Closed,"اعلي محل ابو هندية للاحذية، دوران كلاسيك, Al Hanouvel",· Opens 6 PM,012 02438432,,,https://www.facebook.com/Dr.naglaa.fathi.clinic?mibextid=ZbWKwL,,Directions,,
https://www.google.com/maps/place/Dr.+El+Sayeda+Taha/data=!4m7!3m6!1s0x14f5c3f31fd9f4a7:0x4ea72141882e5106!8m2!3d31.1994277!4d29.9035743!16s%2Fg%2F11fd56bsv_!19sChIJp_TZH_PD9RQRBlEuiEEhp04?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,Dr. El Sayeda Taha,Dr. El Sayeda Taha,4.3,(31),طبيب أمراض جلدية,·,8 Salah Mostafa,,Directions,,Open 24 hours,,·,012 05648557,,,,,,,
https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D8%B7%D9%84%D8%AE%D8%A7%D9%88%D9%8A+%D8%A7%D9%84%D8%B7%D8%A8%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x14f59533d82840ef:0xae64182121eafca9!8m2!3d31.1216929!4d29.7852256!16s%2Fg%2F11tjwb1spf!19sChIJ70Ao2DOV9RQRqfzqISEYZK4?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,مركز الطلخاوي الطبي,,4.0,(63),طبيب أمراض جلدية,·,·,,Website,مركز الطلخاوي الطبي,"خلف جزارة الطلخاوى, أول شارع أولاد منصورناصية, Al Bitash",Closed,· Opens 10 AM,012 88837111,,,https://www.facebook.com/eltalkhawyclinics,,Directions,,
https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%A7%D9%84%D8%AD%D9%8A%D8%A7%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x14f5953066f9de17:0x9bf91760043e4b76!8m2!3d31.1298874!4d29.7785245!16s%2Fg%2F11h48xj_zq!19sChIJF975ZjCV9RQRdks-BGAX-Zs?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,عيادة الحياة,,5.0,(2),طبيب باطنه,·,·,,Directions,عيادة الحياة,"شارع الملاهي متفرع من, Al Bitash",Closed,· Opens 9 AM,03 4141159,,,,,,,
https://www.google.com/maps/place/Sparkle+Clinics+-+Ajami+Bitash+Branch/data=!4m7!3m6!1s0x14f5eb336ffc633f:0x94a1052c3877201d!8m2!3d31.1156472!4d29.7937796!16s%2Fg%2F11tfhsyw_6!19sChIJP2P8bzPr9RQRHSB3OCwFoZQ?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,Sparkle Clinics - Ajami Bitash Branch,Sparkle Clinics - Ajami Bitash Branch,2.6,(5),طبيب أمراض جلدية,·,·,,Website,,"أول مدخل البيطاش الرئيسي ، فوق حلواني, Alaa El-Deen",Closed,· Opens 10 AM,012 71979100,,,https://www.facebook.com/SparkleClinicsAlexandria/,,Directions,,
https://www.google.com/maps/place/dermatologist+%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%A7%D9%84%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D9%85%D8%AD%D9%8A+%D8%A7%D9%84%D8%AF%D9%8A%D9%86+%D8%AD%D8%B3%D9%86+%D8%B9%D9%84%D9%89+%D9%84%D9%84%D8%A7%D9%85%D8%B1%D8%A7%D8%B6+%D8%A7%D9%84%D8%AC%D9%84%D8%AF%D9%8A%D8%A9+%D9%88+%D8%A7%D9%84%D8%AA%D9%86%D8%A7%D8%B3%D9%84%D9%8A%D8%A9+%D9%88+%D8%B9%D9%82%D9%85+%D8%A7%D9%84%D8%B1%D8%AC%D8%A7%D9%84%E2%80%AD/data=!4m7!3m6!1s0x14f5c1fe1a619203:0xb51b9e50e56c3936!8m2!3d31.203013!4d29.8752911!16s%2Fg%2F11hytgvg7x!19sChIJA5JhGv7B9RQRNjls5VCeG7U?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,dermatologist عيادة الدكتور محي الدين حسن على للامراض الجلدية و التناسلية و عقم الرجال,,4.5,(10),طبيب أمراض جلدية,·,·,,Directions,dermatologist عيادة الدكتور محي الدين حسن على للامراض الجلدية و التناسلية و عقم الرجال,"خلف الشيخ وفيق للحلويات, Ibn Al Frat",Closed,· Opens 3 PM,011 29045162,,,,,,,
https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%AF.+%D9%85%D9%86%D8%A7%D9%84+%D9%85%D8%AC%D8%AF%D9%8A+%D8%BA%D8%A7%D9%86%D9%85%E2%80%AD/data=!4m7!3m6!1s0x14f5c5522f59af31:0x4f80c731ad77e431!8m2!3d31.2119318!4d29.9412393!16s%2Fg%2F11yz1p7zl4!19sChIJMa9ZL1LF9RQRMeR3rTHHgE8?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,عيادة د. منال مجدي غانم,,4.9,(77),طبيب أمراض جلدية,·,14 ش Kamal El-Deen Salah,,Website,عيادة د. منال مجدي غانم,Closed,· Opens 4 PM,·,010 70874335,,,https://www.instagram.com/dr.manal_magdy/,,Directions,,
https://www.google.com/maps/place/%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D8%A5%D8%A8%D8%B1%D8%A7%D9%87%D9%8A%D9%85+%D9%81%D9%80%D8%B1%D8%AC+%D8%A7%D8%B3%D8%AA%D8%B4%D8%A7%D8%B1%D9%8A+%D8%A7%D9%84%D8%AC%D9%84%D8%AF%D9%8A%D8%A9+%D9%88%D8%A7%D9%84%D8%AA%D9%86%D8%A7%D8%B3%D9%84%D9%8A%D8%A9+%D9%88%D8%A7%D9%84%D8%B0%D9%83%D9%88%D8%B1%D8%A9+%D9%88%D8%AA%D8%AC%D9%85%D9%8A%D9%84+%D8%A7%D9%84%D8%AC%D9%84%D8%AF+%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%AC%D9%86%D8%A7%D9%83%D9%84%D9%8A%D8%B3%E2%80%AD/data=!4m7!3m6!1s0x14f5c5007a8ad171:0xd1b1ec1adae184c!8m2!3d31.2419711!4d29.9685201!16s%2Fg%2F11td4d34ql!19sChIJcdGKegDF9RQRTBiurcEeGw0?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,دكتور إبراهيم فـرج استشاري الجلدية والتناسلية والذكورة وتجميل الجلد عيادة جناكليس,,4.5,(53),طبيب أمراض جلدية,·,·,,Directions,دكتور إبراهيم فـرج استشاري الجلدية والتناسلية والذكورة وتجميل الجلد عيادة جناكليس,"مؤسسة السَلّاَبْ, جناكليس 633 شارع أبو قير أبراج الزراعيين برج رقم ثلاثة, حارة إمام",Closed,· Opens 1 PM,012 12014514,,,,,,,
https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%AF.%D8%AC%D9%8A%D9%87%D8%A7%D9%86+%D8%A8%D8%B1%D9%83%D8%A7%D8%AA+%28+%D8%A7%D8%B3%D8%AA%D8%B4%D8%A7%D8%B1%D9%89+%D8%AC%D9%84%D8%AF%D9%8A%D9%87%29%E2%80%AD/data=!4m7!3m6!1s0x14f5c3abd7f1a301:0x2a26950cc2ad9a8d!8m2!3d31.2044101!4d29.90531!16s%2Fg%2F11pdy0tg55!19sChIJAaPx16vD9RQRjZqtwgyVJio?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,عيادة د.جيهان بركات ( استشارى جلديه),,4.6,(18),طبيب أمراض جلدية,·,·,,Directions,عيادة د.جيهان بركات ( استشارى جلديه),"6 شارع محمد موسى خلف مسرح محمد عبد الوهاب،, Mahta Al Raml Sq.",Closed,· Opens 2 PM,03 4844097,,,,,,,
https://www.google.com/maps/place/%D8%AF+%D8%A7%D9%8A%D9%85%D8%A7%D9%86+%D9%81%D9%84%D9%8A%D9%81%D9%84+%D8%A3%D8%AE%D8%B5%D8%A7%D8%A6%D9%8A+%D8%A7%D9%84%D8%AC%D9%84%D8%AF%D9%8A%D8%A9+%D9%88+%D8%AA%D8%AC%D9%85%D9%8A%D9%84+%D8%A7%D9%84%D8%A8%D8%B4%D8%B1%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x14f5ed007fa217c1:0x146524b7233804d6!8m2!3d31.0168482!4d29.796083!16s%2Fg%2F11x21kpd6y!19sChIJwReifwDt9RQR1gQ4I7ckZRQ?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,د ايمان فليفل أخصائي الجلدية و تجميل البشرة,,5.0,(5),طبيب أمراض جلدية,·,·,,Directions,د ايمان فليفل أخصائي الجلدية و تجميل البشرة,مع السكة الحديد* مول عمر المختار ٢*، تقاطع كوبرى الصحراوى,Closed,· Opens 12 PM Wed,015 54520192,,,,,,,
