fontTitleLarge,google-symbols,V56sed,CpfJee,hfpxzc href,xxVWCe,qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd (2),W4Efsd (3),W4Efsd (4),W4Efsd (5),UsdlK,Cw1rxd,R8c4Qb,doJOZc,W4Efsd (6),W4Efsd (7),lcr4fd href,Cw1rxd (2),R8c4Qb (2),qBF1Pd (2),e4rVHe,ah5Ghc
,,,,https://www.google.com/maps/place/Dr+Said+Clinic/data=!4m7!3m6!1s0x14f5dbf009283687:0x5bccb2507f2567a7!8m2!3d31.2378732!4d29.9924992!16s%2Fg%2F11m_zjxb5y!19sChIJhzYoCfDb9RQRp2clf1CyzFs?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,Dr Said Clinic,,,,طبيب,·,بجوار بنزينة موبيل وماركت الحرم، 148 Al Fanan Mohammed Othman، Governorateجميله بوحريد,,,,,Directions,,,,,,,Dr Said Clinic,No reviews,
,,,,https://www.google.com/maps/place/Ibrahim+Obeid+specialized+hospital/data=!4m7!3m6!1s0x14f5c4d8a2b7b92d:0x313d3d7fa7f171ee!8m2!3d31.2375583!4d29.958085!16s%2Fg%2F1tl6ns6y!19sChIJLbm3otjE9RQR7nHxp389PTE?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,Ibrahim Obeid specialized hospital,,3.2,(119),مستشفى,·,Open 24 hours,76 Abd El-Salam Aref,·,03 5821262,,Website,,·,,https://m.facebook.com/%D9%85%D8%B3%D8%AA%D8%B4%D9%81%D9%8A-%D8%AF%D8%A7%D8%A8%D8%B1%D8%A7%D9%87%D9%8A%D9%85-%D8%B9%D8%A8%D9%8A%D8%AF-%D8%A7%D9%84%D8%AA%D8%AE%D8%B5%D8%B5%D9%8A-319950865224336/,,Directions,Ibrahim Obeid specialized hospital,,
,,,,https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D9%87+%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D9%87%D8%B4%D8%A7%D9%85+%D8%A7%D9%84%D8%B4%D8%B4%D8%AA%D8%A7%D9%88%D9%8A+%D9%86%D9%81%D8%B3%D9%8A%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x14f5c55b9c10deb5:0x2f52f2ef5e067fdb!8m2!3d31.2117134!4d29.9243704!16s%2Fg%2F11llbhkh5r!19sChIJtd4QnFvF9RQR238GXu_yUi8?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,عياده دكتور هشام الششتاوي نفسية,عياده دكتور هشام الششتاوي نفسية,4.6,(27),مستشار صحي,·,Open 24 hours,,38 Youssef Fahmy Othman,011 22514425,,Directions,,,·,,,,,,
,,,,https://www.google.com/maps/place/Dr.+Ahmed+Magdy+Badah/data=!4m7!3m6!1s0x14f5c527a6b17f2d:0xac2f2c752d87cd34!8m2!3d31.239468!4d29.9599028!16s%2Fg%2F1ts6db10!19sChIJLX-xpifF9RQRNM2HLXUsL6w?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,Dr. Ahmed Magdy Badah,,3.3,(88),طبيب عيون,·,Open 24 hours,,,03 5825225,,Website,,,,https://healtheg.com/ar/Item/17747/%D8%AF-%D8%A7%D8%AD%D9%85%D8%AF-%D9%85%D8%AC%D8%AF%D9%89-%D8%A8%D8%AF%D9%87,,Directions,Dr. Ahmed Magdy Badah,,
,,,,https://www.google.com/maps/place/%D8%A7%D9%84%D8%A3%D8%B3%D8%AA%D8%A7%D8%B0+%D8%A7%D9%84%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D9%85%D8%AD%D9%85%D8%AF+%D8%AD%D9%85%D8%AF%D9%89%E2%80%AD/data=!4m7!3m6!1s0x14f5c4db8262213b:0xd9c7a70afd07e64d!8m2!3d31.2306875!4d29.9571586!16s%2Fg%2F11f4_38npn!19sChIJOyFigtvE9RQRTeYH_Qqnx9k?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,الأستاذ الدكتور محمد حمدى,الأستاذ الدكتور محمد حمدى,4.0,(120),طبيب جهاز عصبي,·,Closed,· Opens 1 PM,·,03 5226092,,Directions,,·,"Building A, 39 Mostafa Kamel St, Bolkley, El Qasem",,,,,,
,,,,https://www.google.com/maps/place/%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D8%B9%D9%84%D8%A7%D8%A1+%D8%B9%D9%8A%D8%B3%D9%89%E2%80%AD/data=!4m7!3m6!1s0x14f5c5000c5103f9:0xe7af130e27507dcd!8m2!3d31.2169024!4d29.9271974!16s%2Fg%2F11npkn675d!19sChIJ-QNRDADF9RQRzX1QJw4Tr-c?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,دكتور علاء عيسى,دكتور علاء عيسى,,,طبيب,·,,,6W8G+QV8,,,Directions,,,,,,,,No reviews,
,,,,https://www.google.com/maps/place/%D8%A7%D9%84%D8%A3%D8%B3%D8%AA%D8%A7%D8%B0+%D8%A7%D9%84%D8%AF%D9%83%D8%AA%D9%88%D8%B1%2F+%D9%85%D8%AD%D9%85%D8%AF+%D8%B4%D9%81%D9%8A%D9%82+%D8%B4%D8%A7%D9%87%D9%8A%D9%86%E2%80%AD/data=!4m7!3m6!1s0x14f5c48bed1ea3d5:0x2af9c0b59bf6bd2e!8m2!3d31.2197728!4d29.9326517!16s%2Fg%2F11d_9h4b4q!19sChIJ1aMe7YvE9RQRLr32m7XA-So?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,الأستاذ الدكتور/ محمد شفيق شاهين,الأستاذ الدكتور/ محمد شفيق شاهين,4.5,(44),طبيب عيون,·,Closed,· Opens 1 PM,·,011 10202310,,Directions,,"Grand Sporting station, 215 Port Said St",·,,,,,,
,,,,https://www.google.com/maps/place/%D8%A7%D9%84%D8%A3%D8%B3%D8%AA%D8%A7%D8%B0+%D8%A7%D9%84%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D9%85%D8%AC%D8%AF%D9%89+%D8%A3%D8%A8%D9%88+%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x14f5c48c7da12e19:0x2d5f10160b2d1ee7!8m2!3d31.2209059!4d29.9341068!16s%2Fg%2F1thj7823!19sChIJGS6hfYzE9RQR5x4tCxYQXy0?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,الأستاذ الدكتور مجدى أبو الريان,الأستاذ الدكتور مجدى أبو الريان,4.1,(61),طبيب الرئة,·,Closed,· Opens 10 AM,·,03 5430090,,Directions,,,,,,,,,
,,,,https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%A7%D9%84%D8%A3%D8%B3%D8%AA%D8%A7%D8%B0+%D8%A7%D9%84%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D8%A3%D8%AD%D9%85%D8%AF+%D9%85%D8%AD%D9%85%D8%AF+%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%87%D8%A7%D8%AF%D9%89%E2%80%AD/data=!4m7!3m6!1s0x14f5c48b85e55d7b:0xa9a644ec461a41b2!8m2!3d31.2206358!4d29.9331713!16s%2Fg%2F11c2pq48wp!19sChIJe13lhYvE9RQRskEaRuxEpqk?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,عيادة الأستاذ الدكتور أحمد محمد عبدالهادى,عيادة الأستاذ الدكتور أحمد محمد عبدالهادى,4.4,(45),طبيب,·,,,228 Port Said St,011 58530548,,Directions,,,,,,,,,
,,,,https://www.google.com/maps/place/%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D8%B9%D9%85%D8%B1%D9%88+%D8%A7%D9%84%D9%83%D9%85%D8%B4%D9%88%D8%B4%D9%89%E2%80%AD/data=!4m7!3m6!1s0x14f5c542022579eb:0xca089aa5b28a4898!8m2!3d31.2308347!4d29.9529814!16s%2Fg%2F11hzh1z1sh!19sChIJ63klAkLF9RQRmEiKsqWaCMo?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,دكتور عمرو الكمشوشى,دكتور عمرو الكمشوشى,4.5,(11),طبيب,·,9 دمياط، فلمنج، قسم الرمل، الإسكندرية، اسكندرية 9، 9 Damietta,,,03 5232074,,Directions,,,,,,,,,
,,,,https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%A7%D9%84%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D8%B9%D9%85%D8%B1%D9%88+%D8%A7%D9%84%D9%83%D9%85%D8%B4%D9%88%D8%B4%D9%8A+Dr.Amr+ElKamshoushy+Clinic%E2%80%AD/data=!4m7!3m6!1s0x14f5c4dd110d62cf:0xc77e696c5b5cbf1b!8m2!3d31.2309912!4d29.9528459!16s%2Fg%2F11fx8x1pq9!19sChIJz2INEd3E9RQRG79cW2xpfsc?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,عيادة الدكتور عمرو الكمشوشي Dr.Amr ElKamshoushy Clinic,عيادة الدكتور عمرو الكمشوشي Dr.Amr ElKamshoushy Clinic,4.5,(163),طبيب,·,Closed,· Opens 9:30 AM,"13 Domiat St, Roushdy",03 5232074,,Directions,,·,,,,,,,
,,,,https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D9%87+%D8%A7%D9%84%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D9%85%D8%AD%D9%85%D8%AF+%D8%B9%D8%A8%D8%AF+%D8%A7%D9%84%D9%84%D9%87+%D8%A8%D8%B1%D8%AC%D9%84%E2%80%AD/data=!4m7!3m6!1s0x14f5c5216e179859:0xbb33594949d904bf!8m2!3d31.2078943!4d29.935527!16s%2Fg%2F11q46sbj6w!19sChIJWZgXbiHF9RQRvwTZSUlZM7s?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,عياده الدكتور محمد عبد الله برجل,عياده الدكتور محمد عبد الله برجل,4.0,(26),مبنى سكني,·,"برج اليجانز، الدور الأول, 14 ش Zaki Ragab",,,03 4200208,,Website,,,,https://web.facebook.com/drmohamedbargal/,,Directions,,,
,,,,https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%A7%D9%84%D8%B9%D8%AC%D9%85%D9%89+%D9%84%D8%B7%D8%A8+%D8%A7%D9%84%D8%A7%D8%B7%D9%81%D8%A7%D9%84%E2%80%AD/data=!4m7!3m6!1s0x14f595ed9afb383b:0x743f432cdf5516ae!8m2!3d31.0982405!4d29.7712939!16s%2Fg%2F11n65x706_!19sChIJOzj7mu2V9RQRrhZV3yxDP3Q?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,عيادة العجمى لطب الاطفال,عيادة العجمى لطب الاطفال,4.3,(6),عيادة طبية,·,"فوق فتح الله، العجمى, Al Hanouvel",Closed,·,03 3857011,,Directions,,· Opens 10 AM,,,,,,,
,,,,https://www.google.com/maps/place/%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D8%A5%D9%8A%D9%87%D8%A7%D8%A8+%D9%81%D8%A4%D8%A7%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x14f594d2484ff981:0xbefbdb9318fad1c!8m2!3d31.1083219!4d29.7847234!16s%2Fg%2F11h3ht8v2b!19sChIJgflPSNKU9RQRHK2PMbm97ws?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,دكتور إيهاب فؤاد,دكتور إيهاب فؤاد,4.2,(14),جراح تقويم عظام,·,"4Q5M+8VH، شارع اسكندرية، مطروح, Alex - Marsa Matrouh",Closed,·,011 46862436,,Directions,,· Opens 8 PM,,,,,,,
,,,,https://www.google.com/maps/place/Dr.+Tarik+Seliam/data=!4m7!3m6!1s0x14f594c19354a69f:0xa2875cb7f5760dd6!8m2!3d31.1041102!4d29.7673729!16s%2Fg%2F1ty83tcb!19sChIJn6ZUk8GU9RQR1g129bdch6I?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,Dr. Tarik Seliam,,4.1,(9),صحة,·,Closed,3 Nour El-Deen,· Opens 7 PM,03 4342704,,Website,,·,,http://www.dalilimedical.com/view_profiles.php?id=1955,,Directions,Dr. Tarik Seliam,,
,,,,https://www.google.com/maps/place/%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D8%A7%D9%84%D9%87%D8%AC%D9%8A%D9%86%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x14f59500180bbdaf:0x20ce50740c7743a5!8m2!3d31.0989046!4d29.7667453!16s%2Fg%2F11wmy9xbjn!19sChIJr70LGACV9RQRpUN3DHRQziA?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,دكتور الهجيني,دكتور الهجيني,,,عيادة طبية,·,3QX8+HM9 بجوار إطارات جاد، الدرايسة,,,,,Directions,,,,,,,,No reviews,
,,,,https://www.google.com/maps/place/%D8%A7%D9%84%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D9%85%D8%AD%D9%85%D8%AF+%D9%85%D8%AD%D8%B1%D9%85+%D8%A3%D8%AD%D9%85%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x14f595f488e51c5f:0xbb22be56a70b9b56!8m2!3d31.0988593!4d29.7666929!16s%2Fg%2F11zf0k5685!19sChIJXxzliPSV9RQRVpsLp1a-Irs?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,الدكتور محمد محرم أحمد,الدكتور محمد محرم أحمد,,,مستشار إدارة أعمال,·,Closed,· Opens 9 AM,,010 00004516,,Website,,,,https://drmoharamconsult.com/,,Directions,,No reviews,
,,,,https://www.google.com/maps/place/%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D9%85%D8%AD%D9%85%D8%AF+%D9%86%D8%A7%D8%AC%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x14f594bf5589eb0d:0x8b70f6ece0fdcb92!8m2!3d31.0984474!4d29.7715539!16s%2Fg%2F1tg_1bbz!19sChIJDeuJVb-U9RQRksv94Oz2cIs?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,دكتور محمد ناجي,دكتور محمد ناجي,,,جرَّاح,·,,,3 El-Hag Eid Khair Allah No. 1,,,Directions,,,,,,,,No reviews,
,,,,https://www.google.com/maps/place/%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D9%85%D8%AD%D9%85%D9%88%D8%AF+%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%85%D9%86%D8%B9%D9%85+%D9%85%D8%AD%D9%85%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x14f594c20098ada7:0xfe1de940c804ec6e!8m2!3d31.1052132!4d29.7657897!16s%2Fg%2F11h3mzbv49!19sChIJp62YAMKU9RQRbuwEyEDpHf4?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,دكتور محمود عبدالمنعم محمد,دكتور محمود عبدالمنعم محمد,4.1,(9),عيادة جراحة العظام,·,"بجوار مسجد التقوى،, Al Hanouvel",Closed,·,012 80467904,,Directions,,· Opens 4 PM,,,,,,,
,,,,https://www.google.com/maps/place/%D9%81%D9%8A%D9%84%D8%A7+%D8%A7%D9%84%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D9%85%D8%AD%D9%85%D8%AF+%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%B8%D8%A7%D9%87%D8%B1+%D8%A7%D9%84%D9%86%D8%AC%D8%A7%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x14f5954b7e92b503:0x713c6b2f885258f9!8m2!3d31.1034902!4d29.7519334!16s%2Fg%2F11vhhk9hrs!19sChIJA7WSfkuV9RQR-VhSiC9rPHE?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,فيلا الدكتور محمد عبدالظاهر النجار,فيلا الدكتور محمد عبدالظاهر النجار,5.0,(1),فيلا,·,,,"4Q32+9QV, Alexandria - Marsa Matrouh Rd",,,Directions,,,,,,,,,
,,,,https://www.google.com/maps/place/%D8%A7%D9%84%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D8%AA%D8%AE%D8%B5%D8%B5%D9%8A+%D8%A7%D9%84%D8%A3%D9%86%D9%81+%D9%88%D8%A7%D9%84%D8%A3%D8%B0%D9%86+%D9%88%D8%A7%D9%84%D8%AD%D9%86%D8%AC%D8%B1%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x14f595a7549c43e1:0xc8847e6086a89425!8m2!3d31.1010792!4d29.7747872!16s%2Fg%2F11h8jkpgj_!19sChIJ4UOcVKeV9RQRJZSohmB-hMg?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,المركز التخصصي الأنف والأذن والحنجرة,المركز التخصصي الأنف والأذن والحنجرة,4.0,(24),مستشفى متخصص,·,Closed,· Opens 11 AM,"4Q2F+CWM, Alexandria - Marsa Matrouh Rd",03 3030146,,Directions,,·,,,,,,,
,,,,https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%A7%D9%84%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D8%B9%D8%A8%D8%AF+%D8%A7%D9%84%D8%B1%D8%AD%D9%85%D9%86+%D8%AD%D8%B4%D9%8A%D8%B4%E2%80%AD/data=!4m7!3m6!1s0x14f594c73dc5efdb:0x6aedb459702a5fa5!8m2!3d31.099682!4d29.7729065!16s%2Fg%2F11h0b488vg!19sChIJ2-_FPceU9RQRpV8qcFm07Wo?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,عيادة الدكتور عبد الرحمن حشيش,عيادة الدكتور عبد الرحمن حشيش,5.0,(11),عِيادة أسنان,·,بلاك فورست، شارع اسكندرية مطروح، أمام كافور الهانوفيل، بجوار,Closed,·,03 3028181,,Directions,,· Opens 5 PM,,,,,,,
,,,,https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D9%87+%D8%A7%D9%84%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D8%B5%D9%80%D9%80%D9%80%D9%80%D9%80%D8%A7%D9%84%D8%AD+%D9%84%D9%84%D8%A7%D8%B3%D9%86%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x14f5c385b679f025:0xe9df5e867d9691e1!8m2!3d31.0986146!4d29.7714806!16s%2Fg%2F12hm29bt3!19sChIJJfB5toXD9RQR4ZGWfYZe3-k?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,عياده الدكتور صـــــالح للاسنان,عياده الدكتور صـــــالح للاسنان,4.7,(23),طبيب أسنان,·,امام بنزينه موبيل -بجوار فتح الله ماركت الاسكندريه، العجمي ميدان الهانوفيل، الشارع الرئيسسي,Closed,·,012 23581020,,Directions,,· Opens 6 PM,,,,,,,
,,,,https://www.google.com/maps/place/Dr.+Mohamed+Rafat+Nasar/data=!4m7!3m6!1s0x14f594c6aa208c13:0x5a8f8b3dba738b9c!8m2!3d31.1033582!4d29.7718375!16s%2Fg%2F1tl5_dpm!19sChIJE4wgqsaU9RQRnItzuj2Lj1o?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,Dr. Mohamed Rafat Nasar,,4.6,(8),عيادة طبية,·,"19 العواملي متفرع من شارع رضوان, Al Hanouvel",Closed,·,010 01382272,,Directions,,· Opens 6 PM,,,,,Dr. Mohamed Rafat Nasar,,
