hfpxzc href,xxVWCe,qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd (3),W4Efsd (4),W4Efsd (5),W4Efsd (6),UsdlK,Cw1rxd,R8c4Qb,lcr4fd href,Cw1rxd (2),R8c4Qb (2),doJOZc,qBF1Pd (2),ah5Ghc
https://www.google.com/maps/place/Matrouh+Heart+Center/data=!4m7!3m6!1s0x1461f9351df2c8f3:0xcbf91a880eb4f3cf!8m2!3d31.3489825!4d27.2411895!16s%2Fg%2F11dxm4r460!19sChIJ88jyHTX5YRQRz_O0Doga-cs?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,Matrouh Heart Center,,4.5,(23),مركز طبي,Open 24 hours,·,,,046 4943333,,Website,https://smc.gov.eg/MatrouhHeartCenterAr/home,,Directions,,Matrouh Heart Center,
https://www.google.com/maps/place/%D8%AF+%D9%85%D8%A7%D8%AC%D8%AF+%D8%B9%D9%88%D9%8A%D8%B6%D9%87+%D8%A7%D8%B3%D8%AA%D8%B4%D8%A7%D8%B1%D9%8A+%D8%B7%D8%A8+%D8%A7%D9%84%D8%A3%D8%B7%D9%81%D8%A7%D9%84+%D9%88%D8%AD%D8%AF%D9%8A%D8%AB%D9%8A+%D8%A7%D9%84%D9%88%D9%84%D8%A7%D8%AF%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x4b07ec5fed122027:0x1967d3a4223cce1!8m2!3d31.3501836!4d27.2338383!16s%2Fg%2F11w1k7mhq6!19sChIJJyAS7V_sB0sR4cwjQjp9lgE?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,د ماجد عويضه استشاري طب الأطفال وحديثي الولادة,د ماجد عويضه استشاري طب الأطفال وحديثي الولادة,4.8,(36),عيادة طب أطفال,"بجوار مسجد الدفراوي, El Thanawea Rd",Closed,· Opens 5 PM,·,010 00197739,,Directions,,,,,,On-site services
https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D8%B9%D8%A8%D8%AF+%D8%A7%D9%84%D8%AD%D9%85%D9%8A%D8%AF+%D8%AF%D8%B1%D9%88%D9%8A%D8%B4+%D9%84%D8%A3%D9%85%D8%B1%D8%A7%D8%B6+%D8%A7%D9%84%D8%A8%D8%A7%D8%B7%D9%86%D8%A9+%D9%88%D8%A7%D9%84%D8%B3%D9%83%D8%B1+%D9%88%D8%A7%D9%84%D8%AC%D9%87%D8%A7%D8%B2+%D8%A7%D9%84%D9%87%D8%B6%D9%85%D9%8A+%D9%88%D8%A7%D9%84%D8%AD%D9%85%D9%8A%D8%A7%D8%AA%E2%80%AD/data=!4m7!3m6!1s0x1461ff4df58c4559:0x595d30202dc548e2!8m2!3d31.352368!4d27.2418907!16s%2Fg%2F11ncl63v1g!19sChIJWUWM9U3_YRQR4kjFLSAwXVk?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,عيادة دكتور عبد الحميد درويش لأمراض الباطنة والسكر والجهاز الهضمي والحميات,عيادة دكتور عبد الحميد درويش لأمراض الباطنة والسكر والجهاز الهضمي والحميات,5.0,(4),طبيب باطنه,عطور مكه، شارع القاضى بجوار مسجد الفتح أعلى,Closed,· Opens 6 PM,·,010 00431645,,Directions,,,,,,
https://www.google.com/maps/place/Marsa+Matrouh+Hospital/data=!4m7!3m6!1s0x1461f934fc984e1d:0x721f5a156799f09e!8m2!3d31.3492024!4d27.2413462!16s%2Fg%2F1tsyxvcv!19sChIJHU6Y_DT5YRQRnvCZZxVaH3I?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,Marsa Matrouh Hospital,,3.7,(183),مستشفى,شارع إسكندرية,·,Open 24 hours,·,046 4933355,,Website,https://www.eldacatra.com/hospital/contactInfo/%D9%85%D8%B3%D8%AA%D8%B4%D9%81%D9%89-%D9%85%D8%B1%D8%B3%D9%89-%D9%85%D8%B7%D8%B1%D9%88%D8%AD-%D8%A7%D9%84%D8%B9%D8%A7%D9%85-%D9%85%D8%B1%D8%B3%D9%89-%D9%85%D8%B7%D8%B1%D9%88%D8%AD,,Directions,,Marsa Matrouh Hospital,
https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%AF%D9%83%D8%AA%D9%88%D8%B1%D8%A9+%D8%B3%D8%A7%D8%B1%D8%A9+%D8%A7%D9%84%D8%AD%D8%B3%D9%86+%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%B1%D8%AD%D9%8A%D9%85%E2%80%AD/data=!4m7!3m6!1s0x1461ff319ef8bc7b:0xf3df1555156728f!8m2!3d31.3526603!4d27.2435721!16s%2Fg%2F11s9cxxy4c!19sChIJe7z4njH_YRQRj3JWUVXxPQ8?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,عيادة دكتورة سارة الحسن عبدالرحيم,عيادة دكتورة سارة الحسن عبدالرحيم,4.2,(9),طبيب أمراض نسائية و توليد,,"963V+3C8, Zaher Galal",,,010 00539378,,Directions,,,,,,
https://www.google.com/maps/place/%D8%B5%D9%8A%D8%AF%D9%84%D9%8A%D9%87+%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D8%A7%D9%8A%D9%87%D8%A7%D8%A8+%D8%AD%D8%A7%D9%85%D8%AF+%D8%AD%D9%8A+%D8%A7%D9%84%D8%AF%D9%88%D9%84%D8%A7%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x1461ffceac19516d:0xd0ea6a1626251cd2!8m2!3d31.354095!4d27.2271991!16s%2Fg%2F11fl8xlg1r!19sChIJbVEZrM7_YRQR0hwlJhZq6tA?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,صيدليه دكتور ايهاب حامد حي الدولار,صيدليه دكتور ايهاب حامد حي الدولار,4.5,(31),صيدلية,Open 24 hours,Abou Kadora,·,,010 00120988,,Directions,,,,,,Delivery
https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%AF%2F+%D9%85%D8%AD%D9%85%D8%AF+%D8%A7%D9%84%D8%AD%D9%88%D9%81%D9%89%E2%80%AD/data=!4m7!3m6!1s0x1461f91cab844061:0xefd610db5a9be7ad!8m2!3d31.349911!4d27.2420748!16s%2Fg%2F11t9rl5x7c!19sChIJYUCEqxz5YRQRreebWtsQ1u8?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,عيادة د/ محمد الحوفى,عيادة د/ محمد الحوفى,4.2,(5),طبيب أمراض نسائية و توليد,شارع إسكندرية، قسم مرسى مطروح،,Open 24 hours,·,,010 63489294,,Website,https://www.facebook.com/Dr.Mohamed.Elhofey,,Directions,,,
https://www.google.com/maps/place/Dr.+Mostafa+Diabetes+Center+Specialist/data=!4m7!3m6!1s0x1461feb5e1b678b5:0x689e5138e460d237!8m2!3d31.3549694!4d27.2453585!16s%2Fg%2F11g72kb6rt!19sChIJtXi24bX-YRQRN9Jg5DhRnmg?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,Dr. Mostafa Diabetes Center Specialist,,4.7,(11),مستشفى,Closed,· Opens 8 AM,,,010 99585596,,Directions,,,,,Dr. Mostafa Diabetes Center Specialist,
https://www.google.com/maps/place/%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D8%B9%D8%A7%D8%B7%D9%81+%D8%A7%D9%84%D8%B5%D8%A7%D9%85%D9%88%D9%84%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x1461ff732de40353:0x479470d854f67cfb!8m2!3d31.3509403!4d27.2425154!16s%2Fg%2F11rqhwknvt!19sChIJUwPkLXP_YRQR-3z2VNhwlEc?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,دكتور عاطف الصامولي,دكتور عاطف الصامولي,4.7,(3),طبيب أطفال,شارع عبدالله عيسى أمام الغرفه التجاريه,Closed,· Opens 11 AM,·,010 06213677,,Directions,,,,,,
https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D9%85%D8%AD%D9%85%D8%AF+%D8%B4%D8%B1%D9%81+%D8%A7%D9%84%D8%AF%D9%8A%D9%86+%D9%84%D9%84%D8%A3%D9%85%D8%B1%D8%A7%D8%B6+%D8%A7%D9%84%D8%A8%D8%A7%D8%B7%D9%86%D8%A9+%D9%88%D8%A7%D9%84%D9%82%D9%84%D8%A8+%D9%88%D8%A7%D9%84%D8%B3%D9%83%D8%B1+%D9%88%D8%A3%D9%85%D8%B1%D8%A7%D8%B6+%D8%A7%D9%84%D8%AF%D9%85+%D9%88%D8%A7%D9%84%D8%AC%D9%87%D8%A7%D8%B2+%D8%A7%D9%84%D9%87%D8%B6%D9%85%D9%8A+%D9%88%D8%A7%D9%84%D9%83%D8%A8%D8%AF+%D8%A8%D9%85%D8%B1%D8%B3%D9%8A+%D9%85%D8%B7%D8%B1%D9%88%D8%AD%E2%80%AD/data=!4m7!3m6!1s0x1461ffb8106d14d5:0x198e88bd9b71714a!8m2!3d31.3505204!4d27.2451645!16s%2Fg%2F11h7q7w6qy!19sChIJ1RRtELj_YRQRSnFxm72Ijhk?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,عيادة دكتور محمد شرف الدين للأمراض الباطنة والقلب والسكر وأمراض الدم والجهاز الهضمي والكبد بمرسي مطروح,عيادة دكتور محمد شرف الدين للأمراض الباطنة والقلب والسكر وأمراض الدم والجهاز الهضمي والكبد بمرسي مطروح,5.0,(3),مركز طبي,Closed,Zaher Galal,· Opens 11 AM,·,010 12954979,,Directions,,,,,,
