name,specialty,category,phone,address,latitude,longitude,source_url
د/ حفنى السودانى,أسنان,طبيب أسنان,01227079414,3QW9+J98، مقابل نقطة فوزى معاذ، طريق اسكندرية,31.0965297,29.768446,https://www.google.com/maps/place/%D8%AF%2F+%D8%AD%D9%81%D9%86%D9%89+%D8%A7%D9%84%D8%B3%D9%88%D8%AF%D8%A7%D9%86%D9%89%E2%80%AD/data=!4m7!3m6!1s0x14f594bfab29b181:0x9ab36861ff68824!8m2!3d31.0965297!4d29.768446!16s%2Fg%2F11h6fkp1yc!19sChIJgbEpq7-U9RQRJIj2H4Y2qwk?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
د/ ريهام ممدوح لطب الأسنان,أسنان,طبيب أسنان,01001085342,3PJP+3VM، مدخل اكتوبر,31.0802004,29.7371603,https://www.google.com/maps/place/%D8%AF%2F+%D8%B1%D9%8A%D9%87%D8%A7%D9%85+%D9%85%D9%85%D8%AF%D9%88%D8%AD+%D9%84%D8%B7%D8%A8+%D8%A7%D9%84%D8%A3%D8%B3%D9%86%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x14f59383f0856fe9:0xc95f4869ff2f7634!8m2!3d31.0802004!4d29.7371603!16s%2Fg%2F11h60f84q5!19sChIJ6W-F8IOT9RQRNHYv_2lIX8k?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
دكتور أحمد الشرقاوى - أخصائى تقويم الأسنان,أسنان,طبيب تقويم أسنان,,3QV6+5G2,31.0929227,29.7614033,https://www.google.com/maps/place/%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D8%A3%D8%AD%D9%85%D8%AF+%D8%A7%D9%84%D8%B4%D8%B1%D9%82%D8%A7%D9%88%D9%89+-+%D8%A3%D8%AE%D8%B5%D8%A7%D8%A6%D9%89+%D8%AA%D9%82%D9%88%D9%8A%D9%85+%D8%A7%D9%84%D8%A3%D8%B3%D9%86%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x14f5950001508ab7:0x4294db4522f0fe9d!8m2!3d31.0929227!4d29.7614033!16s%2Fg%2F11zd91hdj9!19sChIJt4pQAQCV9RQRnf7wIkXblEI?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
دكتور أحمد الشرقاوى - أخصائى تقويم الأسنان,أسنان,طبيب تقويم أسنان,01507224411,3QV6+5G2,31.092933,29.7614181,https://www.google.com/maps/place/%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D8%A3%D8%AD%D9%85%D8%AF+%D8%A7%D9%84%D8%B4%D8%B1%D9%82%D8%A7%D9%88%D9%89+-+%D8%A3%D8%AE%D8%B5%D8%A7%D8%A6%D9%89+%D8%AA%D9%82%D9%88%D9%8A%D9%85+%D8%A7%D9%84%D8%A3%D8%B3%D9%86%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x14f59500229a5d03:0x4871603b4e4e0e8d!8m2!3d31.092933!4d29.7614181!16s%2Fg%2F11ntl5hp3j!19sChIJA12aIgCV9RQRjQ5OTjtgcUg?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
دكتور أحمد الشرقاوى أخصائى تقويم الاسنان,أسنان,طبيب تقويم أسنان,,3QV6+5G2,31.0929235,29.7614184,https://www.google.com/maps/place/%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D8%A3%D8%AD%D9%85%D8%AF+%D8%A7%D9%84%D8%B4%D8%B1%D9%82%D8%A7%D9%88%D9%89+%D8%A3%D8%AE%D8%B5%D8%A7%D8%A6%D9%89+%D8%AA%D9%82%D9%88%D9%8A%D9%85+%D8%A7%D9%84%D8%A7%D8%B3%D9%86%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x14f5950071b2e8df:0x559cefe089eabea5!8m2!3d31.0929235!4d29.7614184!16s%2Fg%2F11zh6ybm7k!19sChIJ3-iycQCV9RQRpb7qieDvnFU?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
دكتور أحمد جلال,أسنان,طبيب أسنان,01012839303,"بجوار شارع مدرسة الضوى،, Alexandria - Marsa Matrouh Rd",31.094131,29.76557,https://www.google.com/maps/place/%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D8%A3%D8%AD%D9%85%D8%AF+%D8%AC%D9%84%D8%A7%D9%84%E2%80%AD/data=!4m7!3m6!1s0x14f5949602f14625:0x6b4ef62113044b47!8m2!3d31.094131!4d29.76557!16s%2Fg%2F11fl7zf2lk!19sChIJJUbxApaU9RQRR0sEEyH2Tms?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
دكتور مدحت حاتم مصطفى,أسنان,طبيب أسنان,034384399,"شارع الهانوفيل متفرع من, Alexandria - Marsa Matrouh Rd",31.1026116,29.7682393,https://www.google.com/maps/place/%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D9%85%D8%AF%D8%AD%D8%AA+%D8%AD%D8%A7%D8%AA%D9%85+%D9%85%D8%B5%D8%B7%D9%81%D9%89%E2%80%AD/data=!4m7!3m6!1s0x14f594c1a43a3b53:0x8ba0ed84da03f57a!8m2!3d31.1026116!4d29.7682393!16s%2Fg%2F11fktdqwp9!19sChIJUzs6pMGU9RQRevUD2oTtoIs?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
دكتور ياسر رمضان,أسنان,طبيب أسنان,01222867123,ابويوسف، ك١٩ طريق اسكندرية مطروح,31.0837196,29.7438073,https://www.google.com/maps/place/%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D9%8A%D8%A7%D8%B3%D8%B1+%D8%B1%D9%85%D8%B6%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x14f5937fe8694297:0x946fb83a04df1874!8m2!3d31.0837196!4d29.7438073!16s%2Fg%2F11h1hn4z0w!19sChIJl0Jp6H-T9RQRdBjfBDq4b5Q?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
عيادة أسنان د.حسام حسن خضير Western Dental Clinic,أسنان,عِيادة أسنان,01013110309,شارع الجوازات بجوار فرع فودافون,31.3499329,27.2420983,https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%A3%D8%B3%D9%86%D8%A7%D9%86+%D8%AF.%D8%AD%D8%B3%D8%A7%D9%85+%D8%AD%D8%B3%D9%86+%D8%AE%D8%B6%D9%8A%D8%B1+Western+Dental+Clinic%E2%80%AD/data=!4m7!3m6!1s0x1461f9b7a8f6c36f:0xfcddbe55729fb6c4!8m2!3d31.3499329!4d27.2420983!16s%2Fg%2F11gsn4hhn7!19sChIJb8P2qLf5YRQRxLafclW-3fw?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
عيادة الدكتور عبد الرحمن حشيش,أسنان,عِيادة أسنان,033028181,بلاك فورست، شارع اسكندرية مطروح، أمام كافور الهانوفيل، بجوار,31.099682,29.7729065,https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%A7%D9%84%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D8%B9%D8%A8%D8%AF+%D8%A7%D9%84%D8%B1%D8%AD%D9%85%D9%86+%D8%AD%D8%B4%D9%8A%D8%B4%E2%80%AD/data=!4m7!3m6!1s0x14f594c73dc5efdb:0x6aedb459702a5fa5!8m2!3d31.099682!4d29.7729065!16s%2Fg%2F11h0b488vg!19sChIJ2-_FPceU9RQRpV8qcFm07Wo?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
عيادة دكتور خالد الخضرجي - وايتي دنت لتقويم وزراعة الأسنان,أسنان,عِيادة أسنان,01122588782,مدخل اكتوبر، أعلى كازيون وفرع اتصالات، شاطئ النخيل,31.0800202,29.7374161,https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D8%AE%D8%A7%D9%84%D8%AF+%D8%A7%D9%84%D8%AE%D8%B6%D8%B1%D8%AC%D9%8A+-+%D9%88%D8%A7%D9%8A%D8%AA%D9%8A+%D8%AF%D9%86%D8%AA+%D9%84%D8%AA%D9%82%D9%88%D9%8A%D9%85+%D9%88%D8%B2%D8%B1%D8%A7%D8%B9%D8%A9+%D8%A7%D9%84%D8%A3%D8%B3%D9%86%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x14f593105b282881:0x685aba1dd8d802e3!8m2!3d31.0800202!4d29.7374161!16s%2Fg%2F11z24wg1_k!19sChIJgSgoWxCT9RQR4wLY2B26Wmg?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
عيادة دكتور محمد وهبه,أسنان,عِيادة أسنان,,18 El Eman St,31.0884005,29.7524781,https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D9%85%D8%AD%D9%85%D8%AF+%D9%88%D9%87%D8%A8%D9%87%E2%80%AD/data=!4m7!3m6!1s0x14f5953e166df2f5:0xc9923cb17a0c803e!8m2!3d31.0884005!4d29.7524781!16s%2Fg%2F11l1f5dq5p!19sChIJ9fJtFj6V9RQRPoAMerE8ksk?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
عيادة طيبة للاسنان,أسنان,طبيب أسنان,01221658459,1 Alexandria - Marsa Matrouh Rd,31.0933747,29.7617026,https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%B7%D9%8A%D8%A8%D8%A9+%D9%84%D9%84%D8%A7%D8%B3%D9%86%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x14f5952b9e2189c5:0x925057645b295240!8m2!3d31.0933747!4d29.7617026!16s%2Fg%2F11tjpwtb6w!19sChIJxYkhniuV9RQRQFIpW2RXUJI?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
عياده الدكتور صـــــالح للاسنان,أسنان,طبيب أسنان,01223581020,امام بنزينه موبيل -بجوار فتح الله ماركت الاسكندريه، العجمي ميدان الهانوفيل، الشارع الرئيسسي,31.0986146,29.7714806,https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D9%87+%D8%A7%D9%84%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D8%B5%D9%80%D9%80%D9%80%D9%80%D9%80%D8%A7%D9%84%D8%AD+%D9%84%D9%84%D8%A7%D8%B3%D9%86%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x14f5c385b679f025:0xe9df5e867d9691e1!8m2!3d31.0986146!4d29.7714806!16s%2Fg%2F12hm29bt3!19sChIJJfB5toXD9RQR4ZGWfYZe3-k?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
مركز أسنان دكتور عبده فهمي محمد,أسنان,عِيادة أسنان,01289357270,"شارع الحديد و الصلب, شارع الفردوس",31.0994984,29.7543189,https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%A3%D8%B3%D9%86%D8%A7%D9%86+%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D8%B9%D8%A8%D8%AF%D9%87+%D9%81%D9%87%D9%85%D9%8A+%D9%85%D8%AD%D9%85%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x14f59596cd9c54f5:0x82f2854dd3fb7ff1!8m2!3d31.0994984!4d29.7543189!16s%2Fg%2F11sdn39xtq!19sChIJ9VSczZaV9RQR8X_7002F8oI?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
مركز الجوهرة للأسنان,أسنان,عِيادة أسنان,033195977,ميدان الكيلو 21 بجوار مستشفى مبرة العصافرة - العجمى - الأسكندرية,31.0786652,29.7349758,https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D8%AC%D9%88%D9%87%D8%B1%D8%A9+%D9%84%D9%84%D8%A3%D8%B3%D9%86%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x14f59384f03aa6ff:0x88c032d10017bb97!8m2!3d31.0786652!4d29.7349758!16s%2Fg%2F1jgm34xlk!19sChIJ_6Y68IST9RQRl7sXANEywIg?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
مركز الجوهرة للاسنان - د. خالد عبد النبى,أسنان,عِيادة أسنان,0221294333,طريق اسكندرية مطروح - الكيلو 21 - بجوار مستشفى مبرة العصافرة,31.0784269,29.7352575,https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D8%AC%D9%88%D9%87%D8%B1%D8%A9+%D9%84%D9%84%D8%A7%D8%B3%D9%86%D8%A7%D9%86+-+%D8%AF.+%D8%AE%D8%A7%D9%84%D8%AF+%D8%B9%D8%A8%D8%AF+%D8%A7%D9%84%D9%86%D8%A8%D9%89%E2%80%AD/data=!4m7!3m6!1s0x14f5936b5c19850b:0x2b19dc448df4d31b!8m2!3d31.0784269!4d29.7352575!16s%2Fg%2F11h3g3bf1h!19sChIJC4UZXGuT9RQRG9P0jUTcGSs?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
مركز الدكتور أشرف بدوى لزراعة وتجميل الأسنان,أسنان,طبيب,01003920494,3PPX+V6M، برج الحمد - ش صلاح سالم - عمارات المحاربين الجديدة - أمام مزلقان الإنشاء والتعمير,31.0872103,29.7480401,https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D8%A3%D8%B4%D8%B1%D9%81+%D8%A8%D8%AF%D9%88%D9%89+%D9%84%D8%B2%D8%B1%D8%A7%D8%B9%D8%A9+%D9%88%D8%AA%D8%AC%D9%85%D9%8A%D9%84+%D8%A7%D9%84%D8%A3%D8%B3%D9%86%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x14f59593a2287fa1:0xeba3b0ee39f1ad9a!8m2!3d31.0872103!4d29.7480401!16s%2Fg%2F11fkyygk58!19sChIJoX8oopOV9RQRmq3xOe6wo-s?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
مركز الدكتور محمد جعفر للأسنان,أسنان,عِيادة أسنان,01111281313,طريق اسكندرية مطروح,31.0790311,29.7368144,https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D9%85%D8%AD%D9%85%D8%AF+%D8%AC%D8%B9%D9%81%D8%B1+%D9%84%D9%84%D8%A3%D8%B3%D9%86%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x14f5938387f87df1:0x1a528bf24a3fd7e!8m2!3d31.0790311!4d29.7368144!16s%2Fg%2F11h64x_8h5!19sChIJ8X34h4OT9RQRfv2jJL8opQE?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
مركز الهدى للأسنان دكتور محمد بيومى,أسنان,عِيادة أسنان,01223463085,طريق اسكندرية مطروح مقابل، أبو يوسف,31.089561,29.7550216,https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%87%D8%AF%D9%89+%D9%84%D9%84%D8%A3%D8%B3%D9%86%D8%A7%D9%86+%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D9%85%D8%AD%D9%85%D8%AF+%D8%A8%D9%8A%D9%88%D9%85%D9%89%E2%80%AD/data=!4m7!3m6!1s0x14f5949ad845ba63:0xc82c181fb23f2d15!8m2!3d31.089561!4d29.7550216!16s%2Fg%2F11h0v809f3!19sChIJY7pF2JqU9RQRFS0_sh8YLMg?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
مركز د. أحمد السيد لجراحة وطب الاسنان,أسنان,عِيادة أسنان,01224619888,ش Al Haded We Al Soulb,31.0937882,29.7604883,https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%AF.+%D8%A3%D8%AD%D9%85%D8%AF+%D8%A7%D9%84%D8%B3%D9%8A%D8%AF+%D9%84%D8%AC%D8%B1%D8%A7%D8%AD%D8%A9+%D9%88%D8%B7%D8%A8+%D8%A7%D9%84%D8%A7%D8%B3%D9%86%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x14f595797fd6d0f5:0xb8879fe753212a9e!8m2!3d31.0937882!4d29.7604883!16s%2Fg%2F11nh3s5cdy!19sChIJ9dDWf3mV9RQRniohU-efh7g?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
مركز سمايل دنتال كير للأسنان بالهانوفيل,أسنان,طبيب,01097555897,"2طريق اسكندرية مطروح الرئيسى أمام مدخل, Al Hanouvel",31.0994541,29.7717315,https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%B3%D9%85%D8%A7%D9%8A%D9%84+%D8%AF%D9%86%D8%AA%D8%A7%D9%84+%D9%83%D9%8A%D8%B1+%D9%84%D9%84%D8%A3%D8%B3%D9%86%D8%A7%D9%86+%D8%A8%D8%A7%D9%84%D9%87%D8%A7%D9%86%D9%88%D9%81%D9%8A%D9%84%E2%80%AD/data=!4m7!3m6!1s0x14f5951deb3c82b1:0x68a2c672bc315f59!8m2!3d31.0994541!4d29.7717315!16s%2Fg%2F11tdmq4twb!19sChIJsYI86x2V9RQRWV8xvHLGomg?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
مركز شهاب الدين للأسنان,أسنان,عِيادة أسنان,039519473,Alexandria - Marsa Matrouh Rd,31.1069057,29.78334,https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%B4%D9%87%D8%A7%D8%A8+%D8%A7%D9%84%D8%AF%D9%8A%D9%86+%D9%84%D9%84%D8%A3%D8%B3%D9%86%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x14f594d21f041e93:0x16e914cf432949bb!8m2!3d31.1069057!4d29.78334!16s%2Fg%2F11h3gtt8rr!19sChIJkx4EH9KU9RQRu0kpQ88U6RY?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
مركز عبد اللطيف للاسنان,أسنان,عِيادة أسنان,034341113,"4Q3H+XWP, Alexandria - Marsa Matrouh Rd",31.1049609,29.7798217,https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%B9%D8%A8%D8%AF+%D8%A7%D9%84%D9%84%D8%B7%D9%8A%D9%81+%D9%84%D9%84%D8%A7%D8%B3%D9%86%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x14f594cfb14583b3:0xe1d489313918a9a3!8m2!3d31.1049609!4d29.7798217!16s%2Fg%2F11c6cd6qs8!19sChIJs4NFsc-U9RQRo6kYOTGJ1OE?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
مركز فلوريدا لطب الأسنان,أسنان,عِيادة أسنان,033011112,"4Q3H+C8R, Alexandria - Marsa Matrouh Rd",31.1035891,29.7785314,https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D9%81%D9%84%D9%88%D8%B1%D9%8A%D8%AF%D8%A7+%D9%84%D8%B7%D8%A8+%D8%A7%D9%84%D8%A3%D8%B3%D9%86%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x14f595c5293e5ac3:0x90a81816041d532f!8m2!3d31.1035891!4d29.7785314!16s%2Fg%2F11jz4nqg6b!19sChIJw1o-KcWV9RQRL1MdBBYYqJA?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1
