hfpxzc href,xxVWCe,qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd (3),W4Efsd (4),W4Efsd (5),UsdlK,lcr4fd href,Cw1rxd,R8c4Qb,Cw1rxd (2),R8c4Qb (2),W4Efsd (6),qBF1Pd (2),e4rVHe,doJOZc,W4Efsd (7),ah5Ghc
https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D8%AC%D9%88%D9%87%D8%B1%D8%A9+%D9%84%D9%84%D8%A3%D8%B3%D9%86%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x14f59384f03aa6ff:0x88c032d10017bb97!8m2!3d31.0786652!4d29.7349758!16s%2Fg%2F1jgm34xlk!19sChIJ_6Y68IST9RQRl7sXANEywIg?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,مركز الجوهرة للأسنان,مركز الجوهرة للأسنان,4.8,(541),عِيادة أسنان,·,ميدان الكيلو 21 بجوار مستشفى مبرة العصافرة - العجمى - الأسكندرية,Closed,03 3195977,,,Directions,,,· Opens 10 AM,,,,·,
https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%AF+%D8%A7%D8%AD%D9%85%D8%AF+%D9%85%D8%AD%D9%85%D9%88%D8%AF+%D8%A7%D8%A8%D9%88%D8%AC%D8%A8%D9%84%E2%80%AD/data=!4m7!3m6!1s0x14f593f4fcfdf247:0x93239b9c32d319ce!8m2!3d31.0814333!4d29.7394725!16s%2Fg%2F11zh8plmhh!19sChIJR_L9_PST9RQRzhnTMpybI5M?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,عيادة د احمد محمود ابوجبل,عيادة د احمد محمود ابوجبل,5.0,(5),عيادة طبية,·,شارع ابو يوسف اول شارع التأمين اعلي فرع فودافون,Closed,011 25776772,,,Directions,,,· Opens 7 PM,,,,,
https://www.google.com/maps/place/%D8%A7%D9%84%D8%B4%D9%8A%D9%85%D8%A7%D8%A1+%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D8%B9%D8%B5%D8%A7%D9%85+%D9%85%D8%AD%D9%85%D9%88%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x14f5938475557441:0x5ba4b2ecfa0877b8!8m2!3d31.0797068!4d29.7368096!16s%2Fg%2F11fk9bzvm3!19sChIJQXRVdYST9RQRuHcI-uyypFs?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,الشيماء دكتور عصام محمود,الشيماء دكتور عصام محمود,,,عيادة طبية,·,3PHP+VPM، مدخل اكتوبر,Closed,03 3181794,,,Directions,,,· Opens 5 PM,,No reviews,,,
https://www.google.com/maps/place/%D9%85%D8%B3%D8%AA%D8%B4%D9%81%D9%89+%D9%85%D8%A8%D8%B1%D8%A9+%D8%A7%D9%84%D8%B9%D8%B5%D8%A7%D9%81%D8%B1%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x14f59384f048a451:0xcbbeed7912d364d0!8m2!3d31.0783283!4d29.7347994!16s%2Fg%2F1z44qts7x!19sChIJUaRI8IST9RQR0GTTEnntvss?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,مستشفى مبرة العصافرة,مستشفى مبرة العصافرة,3.5,(932),مستشفى,Open 24 hours,·,·,0315016,https://mabaret-alasafra.com/,,Website,,Directions,,,,,21 International Coastal Rd,
https://www.google.com/maps/place/%D8%A7%D8%AE%D8%B5%D8%A7%D8%A6%D9%89+%D9%86%D9%81%D8%B3%D9%89+%D8%AF.%D8%A3%D9%85%D9%84+%D9%85%D8%B5%D8%B7%D9%81%D9%89+%D9%85%D8%AD%D9%85%D9%88%D8%AF%E2%80%AD/data=!4m7!3m6!1s0xa37b52ccef96982b:0x2b8dbd111bd3f6ea!8m2!3d31.0790884!4d29.7365468!16s%2Fg%2F11sjjqy1y0!19sChIJK5iW78xSe6MR6vbTGxG9jSs?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,اخصائى نفسى د.أمل مصطفى محمود,اخصائى نفسى د.أمل مصطفى محمود,5.0,(7),محلل نفسي,مركز الامل للصحة النفسية,Closed,·,012 02000273,https://www.facebook.com/profile.php?id=100069917992813,,Website,,Directions,· Opens 10 AM,,,,,
https://www.google.com/maps/place/%D8%A7%D9%84%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D9%84%D8%AE%D8%AF%D9%85%D8%A7%D8%AA+%D8%A7%D9%84%D9%85%D8%AD%D9%85%D9%88%D9%84%E2%80%AD/data=!4m7!3m6!1s0x14f5938380a5a68d:0x846e8c512885715f!8m2!3d31.0787143!4d29.7368952!16s%2Fg%2F11fkn0df63!19sChIJjaalgIOT9RQRX3GFKFGMboQ?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,الدكتور لخدمات المحمول,الدكتور لخدمات المحمول,5.0,(3),متجر هواتف جوالة,·,طريق اسكندريه - مطروح، شارع ك٢١,Closed,011 17570498,,,Directions,,,· Opens 10 AM,,,,,
https://www.google.com/maps/place/%D8%AF%2F+%D8%B9%D9%85%D8%B1%D9%88+%D8%B9%D9%84%D9%89%E2%80%AD/data=!4m7!3m6!1s0x14f59481b6dba8d1:0x280f25ade652e97d!8m2!3d31.0853899!4d29.7452664!16s%2Fg%2F11h1k1kgvs!19sChIJ0ajbtoGU9RQRfelS5q0lDyg?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,د/ عمرو على,د/ عمرو على,4.9,(18),طبيب أمراض نسائية و توليد,·,طريق اسكندرية مطروح ال٢١ بجوار شارع ردن بيكس,Closed,012 80109499,,,Directions,,,· Opens 3 PM,,,,,
https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%A7%D9%84%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D8%A5%D9%8A%D9%87%D8%A7%D8%A8+%D9%81%D8%A7%D8%B1%D9%88%D9%82+%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%B3%D9%84%D8%A7%D9%85+%D8%A8%D8%A7%D8%B7%D9%86%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x14f5930070a90bb1:0x524636db32439426!8m2!3d31.0837118!4d29.7343469!16s%2Fg%2F11vzcz55yg!19sChIJsQupcACT9RQRJpRDMts2RlI?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,عيادة الدكتور إيهاب فاروق عبدالسلام باطنة,عيادة الدكتور إيهاب فاروق عبدالسلام باطنة,5.0,(1),عيادة طبية,3PMM+FRV,Closed,· Opens 10 AM,012 80951907,,,Directions,,,·,,,,,
https://www.google.com/maps/place/%D8%AF%2F+%D8%B1%D9%8A%D9%87%D8%A7%D9%85+%D9%85%D9%85%D8%AF%D9%88%D8%AD+%D9%84%D8%B7%D8%A8+%D8%A7%D9%84%D8%A3%D8%B3%D9%86%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x14f59383f0856fe9:0xc95f4869ff2f7634!8m2!3d31.0802004!4d29.7371603!16s%2Fg%2F11h60f84q5!19sChIJ6W-F8IOT9RQRNHYv_2lIX8k?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,د/ ريهام ممدوح لطب الأسنان,د/ ريهام ممدوح لطب الأسنان,5.0,(1),طبيب أسنان,·,3PJP+3VM، مدخل اكتوبر,Closed,010 01085342,,,Directions,,,· Opens 6 PM,,,,,
https://www.google.com/maps/place/%D8%AF.+%D9%85%D9%8A%D9%84%D8%A7%D8%AF+%D8%A7%D8%A8%D8%B1%D8%A7%D9%87%D9%8A%D9%85+%D8%AC%D8%B1%D8%A7%D8%AD%D8%A9+%D8%A7%D8%B7%D9%81%D8%A7%D9%84%E2%80%AD/data=!4m7!3m6!1s0x14f5937272d01011:0x717aaf273e7dca14!8m2!3d31.0813577!4d29.7392454!16s%2Fg%2F11nt4v8lr4!19sChIJERDQcnKT9RQRFMp9PievenE?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,د. ميلاد ابراهيم جراحة اطفال,د. ميلاد ابراهيم جراحة اطفال,2.3,(3),طبيب أطفال,·,"3PJQ+GMX، الذراع البحري، أول العامرية،, Al Shark Lltamen",Closed,012 01042482,,,Directions,,,· Opens 4 PM,,,,,
https://www.google.com/maps/place/%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D8%A3%D8%B4%D8%B1%D9%81+%D9%8A%D8%AD%D9%8A%D9%89%E2%80%AD/data=!4m7!3m6!1s0x14f59481b42c4a33:0x2873b25f760ccb99!8m2!3d31.0871018!4d29.7499899!16s%2Fg%2F11h79r5svf!19sChIJM0ostIGU9RQRmcsMdl-ycyg?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,دكتور أشرف يحيى,دكتور أشرف يحيى,4.5,(37),طبيب جهاز هضمي,امام صيدليه المعراج بجوار كافيه الطماوي، طريق الأسكندريه الصحراوي,Closed,·,03 4111190,https://www.doctors-guide.net/%D8%AF%D9%83%D8%AA%D9%88%D8%B1-%D8%A3%D8%B4%D8%B1%D9%81-%D9%8A%D8%AD%D9%8A/,,Website,,Directions,· Opens 2 PM,,,,,
https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D8%AE%D8%A7%D9%84%D8%AF+%D9%85%D8%AD%D9%85%D8%AF+%D8%A7%D8%AD%D9%85%D8%AF+%D9%85%D8%AE%D9%8A%D9%85%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x14f595ab0b274b5d:0xdc850ac76065ac6a!8m2!3d31.0920389!4d29.7593942!16s%2Fg%2F11zypfw4g5!19sChIJXUsnC6uV9RQRaqxlYMcKhdw?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,عيادة دكتور خالد محمد احمد مخيمر,عيادة دكتور خالد محمد احمد مخيمر,,,طبيب باطنه,·,"أمام مدرسة أبو يوسف الخاصة, Alexandria - Marsa Matrouh Rd",Closed,012 82002090,,,Directions,,,· Opens 7 PM,,No reviews,,,
https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%A7%D9%84%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D8%AD%D8%A7%D8%AA%D9%85+%D8%B9%D8%AC%D9%88%D8%B1+-+%D8%A7%D8%B3%D8%AA%D8%B4%D8%A7%D8%B1%D9%8A+%D8%B7%D8%A8+%D9%88+%D8%AC%D8%B1%D8%A7%D8%AD%D8%A9+%D8%A7%D9%84%D8%B9%D9%8A%D9%88%D9%86%E2%80%AD/data=!4m7!3m6!1s0x14f59322f5d6142d:0x81f67348d4ef16e8!8m2!3d31.0774552!4d29.7379906!16s%2Fg%2F11h0331pn0!19sChIJLRTW9SKT9RQR6Bbv1Ehz9oE?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,عيادة الدكتور حاتم عجور - استشاري طب و جراحة العيون,عيادة الدكتور حاتم عجور - استشاري طب و جراحة العيون,,,مركز عناية بالعيون,3PGQ+X5Q,Closed,· Opens 9 AM,015 50506672,,,Directions,,,·,,No reviews,,,
https://www.google.com/maps/place/%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D9%8A%D8%A7%D8%B3%D8%B1+%D8%B1%D9%85%D8%B6%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x14f5937fe8694297:0x946fb83a04df1874!8m2!3d31.0837196!4d29.7438073!16s%2Fg%2F11h1hn4z0w!19sChIJl0Jp6H-T9RQRdBjfBDq4b5Q?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,دكتور ياسر رمضان,دكتور ياسر رمضان,5.0,(1),طبيب أسنان,·,ابويوسف، ك١٩ طريق اسكندرية مطروح,Closed,012 22867123,,,Directions,,,· Opens 3 PM,,,,,
https://www.google.com/maps/place/%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9+%D8%A7%D9%84%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D8%AD%D8%B3%D8%A7%D9%85+%D8%A7%D9%84%D8%AF%D9%8A%D9%86+%D9%82%D8%B7%D8%A8%E2%80%AD/data=!4m7!3m6!1s0x14f593efa6f1b483:0x220cba6263eb2790!8m2!3d31.0818054!4d29.7398419!16s%2Fg%2F11sgwk75z6!19sChIJg7Txpu-T9RQRkCfrY2K6DCI?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,عيادة الدكتور حسام الدين قطب,عيادة الدكتور حسام الدين قطب,,,طبيب مسالك بولية,2 Madraset Al Safwa,Closed,· Opens 9 AM Wed,015 53062542,,,Directions,,,·,,No reviews,,,
https://www.google.com/maps/place/%D9%85%D8%B1%D9%83%D8%B2+%D8%B5%D9%8A%D8%A7%D9%85+%D9%83%D9%84%D9%8A%D9%86%D9%83+%D9%84%D8%AC%D8%B1%D8%A7%D8%AD%D8%A9+%D8%A7%D9%84%D9%8A%D9%88%D9%85+%D8%A7%D9%84%D9%88%D8%A7%D8%AD%D8%AF+%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D9%85%D8%B5%D8%B7%D9%81%D9%8A+%D8%B5%D9%8A%D8%A7%D9%85+.+%D8%A7%D8%B3%D8%AA%D8%B4%D8%A7%D8%B1%D9%8A+%D8%A7%D9%84%D8%AC%D8%B1%D8%A7%D8%AD%D8%A9+%D8%A7%D9%84%D8%B9%D8%A7%D9%85%D8%A9+.+%D8%B2%D9%85%D8%A7%D9%84%D8%A9+%D9%83%D9%84%D9%8A%D8%A9+%D8%A7%D9%84%D8%AC%D8%B1%D8%A7%D8%AD%D9%8A%D9%86+%D8%A7%D9%84%D9%85%D9%84%D9%83%D9%8A%D8%A9+%D8%A7%D9%8A%D8%B1%D9%84%D9%86%D8%AF%D8%A7%E2%80%AD/data=!4m7!3m6!1s0x14f5955406b2948f:0xe6ba4629dc1e556d!8m2!3d31.0845824!4d29.7443718!16s%2Fg%2F11h6q67rxv!19sChIJj5SyBlSV9RQRbVUe3ClGuuY?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,مركز صيام كلينك لجراحة اليوم الواحد دكتور مصطفي صيام . استشاري الجراحة العامة . زمالة كلية الجراحين الملكية ايرلندا,مركز صيام كلينك لجراحة اليوم الواحد دكتور مصطفي صيام . استشاري الجراحة العامة . زمالة كلية الجراحين الملكية ايرلندا,4.5,(2),جرَّاح,·,محمد,Closed,012 20473093,,,Directions,,,· Opens 7 PM,,,,,
https://www.google.com/maps/place/%D9%85%D8%B7%D8%B9%D9%85+%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D9%81%D9%88%D9%84%E2%80%AD/data=!4m7!3m6!1s0x14f595a1fad498dd:0x4e5acad2fa28b2e8!8m2!3d31.0905158!4d29.7288467!16s%2Fg%2F11vx6byv6h!19sChIJ3ZjU-qGV9RQR6LIo-tLKWk4?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,مطعم دكتور فول,مطعم دكتور فول,4.0,(4),مطعم,·,اكتوبر شاطئ النخيل، شارع 27/4 العجمي,Open 24 hours,010 10664330,,,Directions,,,,,,,,Dine-in
https://www.google.com/maps/place/%D8%B5%D9%8A%D8%AF%D9%84%D9%8A%D8%A7%D8%AA+%D8%A7%D9%84%D8%AF%D9%83%D8%AA%D9%88%D8%B1+%D8%B3%D9%85%D9%8A%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x14f593b1e290db49:0xb2006b16c0ef5c7e!8m2!3d31.0849965!4d29.7332296!16s%2Fg%2F11j8zymjq7!19sChIJSduQ4rGT9RQRflzvwBZrALI?authuser=0&hl=en&g_ep=EgoyMDI2MDkwOS4wIJJjKgBIAVAD&rclk=1,صيدليات الدكتور سمير,صيدليات الدكتور سمير,4.3,(3),صيدلية,27 Street 2,Open 24 hours,,012 11800592,,,Directions,,,·,,,,,
